code,name
131101,河北省衡水市市辖区
131102,河北省衡水市桃城区
131121,河北省衡水市枣强县
131122,河北省衡水市武邑县
131123,河北省衡水市武强县
131124,河北省衡水市饶阳县
131125,河北省衡水市安平县
131126,河北省衡水市故城县
131127,河北省衡水市景县
131128,河北省衡水市阜城县
131181,河北省衡水市冀州市
131182,河北省衡水市深州市
140000,山西省
140100,山西省太原市
140101,山西省太原市市辖区
140105,山西省太原市小店区
140106,山西省太原市迎泽区
140107,山西省太原市杏花岭区
140108,山西省太原市尖草坪区
140109,山西省太原市万柏林区
140110,山西省太原市晋源区
140121,山西省太原市清徐县
140122,山西省太原市阳曲县
140123,山西省太原市娄烦县
140181,山西省太原市古交市
140200,山西省大同市
140201,山西省大同市市辖区
140202,山西省大同市城区
140203,山西省大同市矿区
140211,山西省大同市南郊区
140212,山西省大同市新荣区
140221,山西省大同市阳高县
140222,山西省大同市天镇县
140223,山西省大同市广灵县
140224,山西省大同市灵丘县
140225,山西省大同市浑源县
140226,山西省大同市左云县
140227,山西省大同市大同县
140300,山西省阳泉市
140301,山西省阳泉市市辖区
140302,山西省阳泉市城区
140303,山西省阳泉市矿区
140311,山西省阳泉市郊区
140321,山西省阳泉市平定县
140322,山西省阳泉市盂县
140400,山西省长治市
140401,山西省长治市市辖区
140402,山西省长治市城区
140411,山西省长治市郊区
140421,山西省长治市长治县
140423,山西省长治市襄垣县
140424,山西省长治市屯留县
140425,山西省长治市平顺县
140426,山西省长治市黎城县
140427,山西省长治市壶关县
140428,山西省长治市长子县
140429,山西省长治市武乡县
140430,山西省长治市沁县
140431,山西省长治市沁源县
140481,山西省长治市潞城市
140500,山西省晋城市
140501,山西省晋城市市辖区
140502,山西省晋城市城区
140521,山西省晋城市沁水县
140522,山西省晋城市阳城县
140524,山西省晋城市陵川县
140525,山西省晋城市泽州县
140581,山西省晋城市高平市
140600,山西省晋城市朔州市
140601,山西省晋城市市辖区
140602,山西省晋城市朔城区
140603,山西省晋城市平鲁区
140621,山西省晋城市山阴县
140622,山西省晋城市应县
140623,山西省晋城市右玉县
140624,山西省晋城市怀仁县
142200,山西省忻州市
142201,山西省忻州市市辖区
142202,山西省忻州市原平市
142222,山西省忻州市定襄县
142223,山西省忻州市五台县
142225,山西省忻州市代县
142226,山西省忻州市繁峙县
142227,山西省忻州市宁武县
142228,山西省忻州市静乐县
142229,山西省忻州市神池县
142230,山西省忻州市五寨县
142231,山西省忻州市岢岚县
142232,山西省忻州市河曲县
142233,山西省忻州市保德县
142234,山西省忻州市偏关县
142300,山西省忻州市吕梁地区
142301,山西省忻州市孝义市
142302,山西省忻州市离石市
142303,山西省忻州市汾阳市
142322,山西省忻州市文水县
142323,山西省忻州市交城县
142325,山西省忻州市兴县
142326,山西省忻州市临县
142327,山西省忻州市柳林县
142328,山西省忻州市石楼县
142329,山西省忻州市岚县
142330,山西省忻州市方山县
142332,山西省忻州市中阳县
142333,山西省忻州市交口县
142400,山西省晋中市
142401,山西省晋中市榆次市
142402,山西省晋中市介休市
142421,山西省晋中市榆社县
142422,山西省晋中市左权县
142423,山西省晋中市和顺县
142424,山西省晋中市昔阳县
142427,山西省晋中市寿阳县
142429,山西省晋中市太谷县
142430,山西省晋中市祁县
142431,山西省晋中市平遥县
142433,山西省晋中市灵石县
142600,山西省临汾市
142601,山西省临汾市市辖区
142602,山西省临汾市侯马市
142603,山西省临汾市霍州市
142621,山西省临汾市曲沃县
142622,山西省临汾市翼城县
142623,山西省临汾市襄汾县
142625,山西省临汾市洪洞县
142627,山西省临汾市古县
142628,山西省临汾市安泽县
142629,山西省临汾市浮山县
142630,山西省临汾市吉县
142631,山西省临汾市乡宁县
142632,山西省临汾市蒲县
142633,山西省临汾市大宁县
142634,山西省临汾市永和县
142635,山西省临汾市隰县
142636,山西省临汾市汾西县
142700,山西省运城市
142701,山西省运城市市辖区
142702,山西省运城市永济市
142703,山西省运城市河津市
142723,山西省运城市芮城县
142724,山西省运城市临猗县
142725,山西省运城市万荣县
142726,山西省运城市新绛县
142727,山西省运城市稷山县
142729,山西省运城市闻喜县
142730,山西省运城市夏县
142731,山西省运城市绛县
142732,山西省运城市平陆县
142733,山西省运城市垣曲县
150000,内蒙古自治区
150100,内蒙古自治区呼和浩特市
